Rec,Inf,UID,Name,Nat,2nd Nat,Age,Position,Club,Division,Wage,Mins,Height,Weight,Loan Expires,Expires,Min WD,Max AP,Max WD,Min AP,NP-xG/90,NP-xG,xGP/90,Clr/90,Int/90,Tck/90,Tck R,Tck W,Blk/90,Hdr %,Hdrs W/90,Poss Won/90,Pres A/90,Poss Lost/90,Pas %,Ps C/90,Pr passes/90,Asts/90,xA/90,Cr C/90,Drb/90,Shot %,Shot/90,ShT/90,xG/90,xG-OP,Gls/90,xG,Sprints/90
- - B- -,,31034672,Kyran Clements,ENG,,27,D (C),Gloucester,Vanarama National League North,â¬350 p/w,4117,"6'1""",77 kg,-,30/6/2024,â¬550 p/w,â¬6K,â¬750 p/w,â¬0,0.09,3.95,-,1.86,1.79,0.94,84%,43,0.48,83%,7.65,14.14,2.75,9.2,84%,47.5,3.45,0.04,0.02,0.00,0.11,49%,0.81,0.39,0.09,3.05,0.15,3.95,3.67
- - C -,,28118015,Harry Flowers,ENG,,28,D (C),Southport,Vanarama National League North,â¬350 p/w,2789,"6'5""",102 kg,-,30/6/2024,-,-,-,-,0.09,2.78,-,1.74,1.23,0.77,83%,24,0.52,79%,8.75,15.49,3.23,10.84,77%,36.63,2.9,0.03,0.03,0.00,-,31%,0.94,0.29,0.09,-0.78,0.06,2.78,3.58
- - C -,,29139608,Chris Renshaw,ENG,,26,GK,Southport,Vanarama National League North,â¬300 p/w,4680,"6'2""",84 kg,-,30/6/2024,-,-,-,-,0.0,0.0,-0.09,10.79,0.37,0.02,13%,1,-,-,-,6.81,0.0,13.0,44%,7.9,1.9,0.04,0.01,-,-,-,-,-,0.0,0.0,-,0.0,0.19
- - -,Ret,122112,Peter Clarke,ENG,,42,D (C),Warrington,Vanarama National League North,â¬575 p/w,4257,"6'2""",83 kg,-,30/6/2024,â¬350 p/w,â¬0,â¬450 p/w,â¬0,0.06,2.69,-,1.56,1.08,0.95,76%,45,0.36,74%,7.10,12.09,3.59,11.01,73%,32.28,3.97,0.06,0.03,0.00,-,46%,0.59,0.27,0.06,0.0,0.04,2.69,4.57
- - -,,29036910,Jaz Singh,ENG,IND,34,GK,Tamworth,Vanarama National League North,â¬180 p/w,4770,"6'2""",85 kg,-,30/6/2024,-,-,-,-,0.0,0.0,-0.05,11.36,0.36,0.04,40%,2,-,-,-,6.04,0.0,14.49,38%,6.74,1.34,0.06,0.01,-,-,-,-,-,0.0,0.0,-,0.0,0.13
- - -,,29023596,Tommy Taylor,ENG,,31,GK,Darlington,Vanarama National League North,â¬575 p/w,4410,"6'3""",86 kg,-,30/6/2024,-,-,-,-,0.0,0.0,-0.10,8.24,0.33,0.02,14%,1,-,-,-,8.49,0.0,14.76,48%,10.71,1.49,-,0.0,-,-,-,-,-,0.0,0.0,-,0.0,0.1
- - -,Ret,5123412,Danny Lewis,ENG,,41,GK,Brackley,Vanarama National League North,â¬700 p/w,3555,"5'11""",76 kg,-,30/6/2024,â¬350 p/w,â¬0,â¬450 p/w,â¬0,0.0,0.0,0.06,10.66,0.48,0.05,18%,2,-,-,-,6.78,0.0,16.23,33%,6.48,0.96,-,0.0,-,-,-,-,-,0.0,0.0,-,0.0,0.18
- - -,Ctr,28100474,Jack Evans,WAL,,26,"DM, M (C)",Farsley,Vanarama National League North,,1072,"6'1""",77 kg,-,-,â¬300 p/w,â¬0,â¬400 p/w,â¬0,0.08,0.92,-,2.18,1.01,2.6,86%,31,0.34,47%,2.27,9.82,10.66,8.31,87%,46.43,4.37,0.08,0.08,0.34,0.59,20%,1.26,0.25,0.08,1.08,0.17,0.92,8.48
- - -,,28062670,George Waring,ENG,,29,"D (C), ST (C)",Curzon Ashton,Vanarama National League North,â¬230 p/w,2116,"6'5""",70 kg,-,30/6/2024,-,-,-,-,0.1,2.41,-,2.13,1.45,1.02,73%,24,0.51,76%,8.29,12.33,3.45,11.14,76%,32.03,2.68,0.09,0.03,0.00,0.09,38%,1.02,0.38,0.1,2.59,0.21,2.41,5.61
- - -,Bid,28068604,Rudy Misambo,ENG,,30,D (C),Farsley,Vanarama National League North,â¬230 p/w,3980,"6'4""",89 kg,-,30/6/2024,-,-,-,-,0.03,1.46,-,2.15,1.24,0.97,83%,43,0.54,82%,8.32,15.08,2.37,11.24,76%,36.16,3.32,0.02,0.03,0.05,0.09,38%,0.54,0.20,0.03,-0.46,0.02,1.46,3.39
- - -,Frt,2000156708,Wyll Stanway,ENG,,23,GK,Chester,Vanarama National League North,â¬300 p/w,1620,"6'4""",82 kg,-,30/6/2024,-,-,-,-,0.0,0.0,0.17,8.61,0.50,0.06,50%,1,-,-,-,7.17,0.0,11.67,57%,12.89,2.17,-,0.04,-,-,-,-,-,0.0,0.0,-,0.0,0.11
- - -,,90070191,Simeon Maye,ENG,,29,"DM, M (C)",Banbury,Vanarama National League North,â¬230 p/w,2990,"5'10""",70 kg,-,30/6/2024,-,-,-,-,0.08,2.53,-,1.6,0.96,1.41,78%,47,0.39,59%,3.64,7.56,8.04,5.3,87%,29.95,2.38,0.09,0.03,0.06,0.12,27%,0.66,0.18,0.08,-1.53,0.03,2.53,7.31
- - -,Sct,28100548,Kyle Howkins,ENG,,28,D (C),Hereford,Vanarama National League North,â¬475 p/w,3976,"6'5""",96 kg,-,30/6/2024,-,-,-,-,0.09,4.18,-,1.99,1.20,1.09,74%,48,0.75,82%,8.65,13.11,2.72,8.62,82%,39.66,2.9,0.05,0.04,0.02,0.02,56%,0.77,0.43,0.09,0.82,0.11,4.18,6.25
- - -,,5112026,Paul Jones,ENG,,37,GK,King's Lynn,Vanarama National League North,â¬825 p/w,1350,"6'3""",82 kg,-,30/6/2025,-,-,-,-,0.0,0.0,-0.99,10.67,0.40,0.0,0%,0,-,-,-,7.93,0.0,16.6,33%,6.27,1.07,-,0.02,-,-,-,-,-,0.0,0.0,-,0.0,0.07
- - -,,29194271,Tom Leak,ENG,WAL,23,D (C),Boston Utd,Vanarama National League North,â¬400 p/w,4106,"6'2""",79 kg,-,30/6/2024,,-,,-,0.1,4.58,-,1.95,2.02,0.75,79%,34,0.50,80%,8.57,15.26,3.07,8.53,87%,55.19,5.37,0.04,0.06,0.09,0.02,36%,0.99,0.35,0.1,1.42,0.13,4.58,6.14
- - -,Wnt,2000219406,Ashton Fox,ENG,,21,D (C),Peterborough Sports,Vanarama National League North,â¬575 p/w,4295,"6'0""",79 kg,30/6/2024,30/6/2024,,-,,-,0.06,3.04,-,1.7,1.78,0.75,75%,36,0.48,80%,8.53,14.71,2.7,9.64,82%,42.56,3.9,-,0.04,0.00,0.17,28%,0.61,0.17,0.06,-2.04,0.02,3.04,5.85
- - -,Hol,29158250,Harvey Smith,ENG,,25,D (C),Chorley,Vanarama National League North,â¬400 p/w,3362,"6'0""",76 kg,-,30/6/2024,,-,,-,0.02,0.9,-,1.87,1.23,1.26,80%,47,0.56,80%,7.82,13.06,2.78,9.69,84%,49.23,5.09,-,0.03,0.00,0.03,33%,0.40,0.13,0.02,1.1,0.05,0.9,5.43
- - -,,29176525,Max Hunt,ENG,,25,D (C),Buxton,Vanarama National League North,â¬400 p/w,4307,"6'6""",78 kg,-,30/6/2024,,-,,-,0.11,5.32,-,1.4,0.88,0.94,83%,45,0.42,80%,8.59,14.21,2.3,8.09,83%,43.94,4.28,0.02,0.05,0.04,0.04,38%,1.44,0.54,0.11,0.68,0.13,5.32,2.97
- - -,,61064263,Michael Kelly,SCO,,26,D (L),Scunthorpe,Vanarama National League North,"â¬1,200 p/w",2016,"5'11""",84 kg,-,30/6/2025,,-,,-,0.04,0.91,-,1.61,2.05,2.41,72%,54,0.67,80%,5.94,15.85,5.94,11.47,84%,47.9,7.54,0.09,0.1,0.58,0.36,25%,0.89,0.22,0.04,-0.91,-,0.91,10.09
- - -,,222823,Tai Fleming,ENG,,22,D (C),Banbury,Vanarama National League North,â¬240 p/w,4033,"6'3""",77 kg,-,30/6/2025,,-,,-,0.08,3.53,-,1.87,1.21,0.98,90%,44,0.51,79%,9.95,15.31,2.99,9.39,83%,39.19,3.06,0.02,0.01,0.02,0.07,34%,0.91,0.31,0.08,-0.53,0.07,3.53,5.04
- - -,,2000141112,Will Armitage,ENG,,19,D (C),South Shields,Vanarama National League North,â¬575 p/w,4498,"6'3""",79 kg,29/6/2024,30/6/2026,,-,,-,0.02,1.06,-,1.08,1.58,0.68,77%,34,0.38,79%,6.86,13.75,3.04,6.04,92%,69.33,7.54,0.02,0.01,0.00,-,33%,0.42,0.14,0.02,2.94,0.08,1.06,4.6
- - -,,28093200,Keenan Quansah,ENG,GHA,27,"D (RC), WB (R), DM",Southport,Vanarama National League North,â¬350 p/w,3388,"6'4""",80 kg,-,30/6/2024,,-,,-,0.03,1.18,-,1.83,1.70,2.15,76%,81,0.37,79%,6.35,14.03,6.88,10.07,83%,37.83,3.83,0.05,0.03,0.21,0.53,20%,0.53,0.11,0.03,-1.18,-,1.18,5.79
- - -,,2000056887,Seydil TourÃ©,SEN,ENG,20,D (C),Braintree,Vanarama National League South,â¬475 p/w,3759,"6'2""",82 kg,29/6/2024,30/6/2025,,-,,-,0.12,4.92,-,1.75,1.36,1.17,82%,49,0.34,78%,6.70,13.07,3.3,4.96,85%,43.86,3.83,-,0.01,0.02,0.22,29%,0.91,0.26,0.12,-2.92,0.05,4.92,4.53
- - -,,28124743,Dan Quick,ENG,,21,D (C),Eastbourne Borough,Vanarama National League South,â¬525 p/w,2583,"6'2""",85 kg,-,30/6/2024,,-,,-,0.15,4.36,-,1.6,1.57,1.05,88%,30,0.45,78%,6.38,13.1,3.17,4.01,85%,45.51,4.08,0.07,0.03,0.24,0.31,26%,1.32,0.35,0.15,-0.36,0.14,4.36,4.7
- - -,,57149460,Moses Makinde,ENG,USA,31,D (L),South Shields,Vanarama National League North,â¬600 p/w,1727,"6'1""",84 kg,-,30/6/2025,,-,,-,0.05,1.0,-,1.41,2.29,1.93,77%,37,0.73,77%,5.84,15.43,7.71,12.92,85%,52.53,9.07,0.05,0.04,0.47,1.04,17%,0.63,0.10,0.05,0.0,0.05,1.0,14.33
- - -,,29023464,Aarran Racine,ENG,,32,D (C),Tonbridge,Vanarama National League South,â¬300 p/w,2570,"6'2""",91 kg,-,30/6/2025,,-,,-,0.06,1.73,-,1.75,1.37,0.91,81%,26,0.49,77%,6.37,14.78,2.84,4.1,86%,46.54,4.38,0.07,0.04,0.04,0.04,14%,0.77,0.11,0.06,1.27,0.11,1.73,4.1
- - -,,29161623,Adam Lund,ENG,,25,DM,Alfreton,Vanarama National League North,â¬180 p/w,3709,"5'11""",77 kg,-,30/6/2025,,-,,-,0.04,1.81,-,1.55,1.14,2.26,77%,93,0.39,77%,5.12,10.51,7.64,11.31,83%,35.55,4.0,0.12,0.08,0.19,0.44,36%,0.53,0.19,0.04,0.19,0.05,1.81,10.53
- - -,Wnt,90057700,Jamie Willets,ENG,,31,D (C),Tamworth,Vanarama National League North,â¬180 p/w,4501,"6'3""",88 kg,-,30/6/2024,,-,,-,0.07,3.55,-,2.38,1.32,0.7,70%,35,0.42,77%,7.08,13.96,2.6,10.68,80%,43.61,4.56,0.04,0.05,0.02,0.02,45%,0.66,0.30,0.07,2.45,0.12,3.55,5.56
- - -,,29233180,Brooklyn Kabongolo,FRA,ENG,21,D (C),Maidstone,Vanarama National League South,â¬450 p/w,1024,"6'4""",85 kg,-,30/6/2024,,-,,-,0.25,2.83,-,1.41,1.85,0.44,100%,5,1.14,77%,7.29,11.69,1.58,5.54,81%,40.52,2.46,-,0.01,0.00,-,17%,2.11,0.35,0.25,-1.83,0.09,2.83,5.01
- - -,,28028403,Conor Branson,ENG,,32,"DM, M (C)",Farsley,Vanarama National League North,â¬300 p/w,2947,"6'2""",76 kg,-,30/6/2024,,-,,-,0.09,3.01,-,1.53,1.37,1.92,71%,63,0.61,77%,5.13,11.27,8.95,8.7,85%,43.4,4.83,0.06,0.09,0.18,0.34,36%,1.34,0.49,0.09,2.99,0.18,3.01,8.58
- - -,,2000022079,Ethan Sutcliffe,ENG,,20,D (C),Scunthorpe,Vanarama National League North,â¬375 p/w,1165,"6'1""",73 kg,30/6/2024,30/6/2025,,-,,-,0.1,1.35,-,1.55,1.70,0.46,75%,6,0.15,77%,7.88,13.91,1.24,7.18,90%,67.67,4.48,0.08,0.06,0.00,-,33%,1.16,0.39,0.1,-1.35,-,1.35,5.56
- - -,,29235898,Ronny Nelson,ENG,,20,D (C),Worthing,Vanarama National League South,â¬575 p/w,3727,"6'5""",89 kg,29/6/2024,30/6/2025,,-,,-,0.01,0.46,-,2.08,1.38,1.18,84%,49,0.51,77%,6.59,11.33,2.99,4.73,86%,48.05,3.84,0.05,0.02,0.05,0.02,20%,0.24,0.05,0.01,-0.46,-,0.46,3.91
- - -,Int,28049315,Zaine Francis-Angol,ATG,ENG,30,D/WB (L),Buxton,Vanarama National League North,â¬475 p/w,3085,"5'8""",78 kg,-,30/6/2024,,-,,-,0.04,1.2,-,1.58,2.19,2.28,83%,78,0.50,77%,4.29,14.0,7.61,11.49,84%,38.36,7.32,0.20,0.13,0.79,1.05,45%,0.58,0.26,0.04,-0.2,0.03,1.2,13.39
- - -,,2000273981,Emmanuel Harvest,ENG,,19,DM,Bishop's Stortford,Vanarama National League North,â¬425 p/w,3265,"6'4""",87 kg,29/6/2024,30/6/2025,,-,,-,0.07,2.4,-,2.23,0.91,1.82,69%,66,0.30,77%,5.84,9.26,9.48,8.77,85%,42.42,3.42,0.06,0.04,0.03,0.11,22%,1.27,0.28,0.07,-0.4,0.06,2.4,5.4
- - -,,29127855,Isaac Assenso,ENG,,27,D (C),Farsley,Vanarama National League North,â¬230 p/w,2273,"6'3""",70 kg,-,30/6/2024,,-,,-,0.02,0.62,-,1.43,1.39,1.15,76%,29,0.48,76%,7.17,13.07,3.17,11.28,76%,35.28,4.08,0.08,0.07,0.08,0.20,50%,0.40,0.20,0.02,1.38,0.08,0.62,3.96
- - -,,29146151,Maxim Kouogun,CMR,IRL,27,D (C),Scunthorpe,Vanarama National League North,â¬875 p/w,2941,"6'3""",82 kg,-,30/6/2025,,-,,-,0.1,3.3,-,1.65,1.84,0.92,68%,30,0.43,76%,7.80,16.04,2.36,9.61,85%,55.63,4.28,0.03,0.08,0.03,0.15,49%,1.25,0.61,0.1,-0.3,0.09,3.3,5.02
- - -,,29038155,Blaine Hudson,ENG,,32,D (C),Chelmsford,Vanarama National League South,â¬300 p/w,2330,"6'5""",83 kg,-,30/6/2025,,-,,-,0.11,2.93,-,1.7,1.43,0.81,75%,21,0.42,76%,6.72,19.58,3.17,5.25,79%,40.4,4.4,0.04,0.03,0.00,0.08,25%,0.93,0.23,0.11,-1.93,0.04,2.93,4.4
- - -,,52070952,Gary Boylan,IRL,,28,"D (R), M (C)",Weston-super-Mare,Vanarama National League South,â¬450 p/w,2116,"6'0""",79 kg,-,30/6/2025,,-,,-,0.13,3.01,-,2.04,1.83,1.62,78%,38,0.43,76%,5.49,13.65,7.06,13.14,84%,37.64,4.68,0.04,0.05,0.55,0.34,27%,1.11,0.30,0.13,0.99,0.17,3.01,14.42
- - -,,29219122,Jalil Saadi,MAR,FRA,22,D (C),Yeovil,Vanarama National League South,â¬875 p/w,3474,"6'3""",73 kg,29/6/2024,30/6/2024,,-,,-,0.06,2.24,-,1.71,1.53,0.98,78%,38,0.44,76%,5.85,14.97,2.64,3.16,83%,44.77,3.89,0.05,0.04,0.03,0.03,39%,0.60,0.23,0.06,2.76,0.13,2.24,4.92
- - -,Wnt,2000211483,Aaron Harper-Bailey,ENG,,22,D (C),Gloucester,Vanarama National League North,â¬475 p/w,3847,"6'3""",85 kg,29/6/2024,30/6/2024,,-,,-,0.02,1.05,-,2.34,1.40,1.05,76%,45,0.51,76%,6.90,14.74,3.32,7.81,85%,43.44,3.09,0.05,0.03,0.00,0.05,33%,0.35,0.12,0.02,-0.05,0.02,1.05,4.26
- - -,Wnt,2000192553,Charlie Stallard,ENG,,20,D (C),Hemel Hempstead,Vanarama National League South,â¬525 p/w,3312,"6'2""",77 kg,29/6/2024,30/6/2024,,-,,-,0.06,2.22,-,1.39,1.30,1.09,82%,40,0.30,75%,6.39,17.74,3.15,3.91,87%,46.68,3.67,0.08,0.01,0.00,0.08,24%,0.46,0.11,0.06,-2.22,-,2.22,4.08
- - -,Wnt,28095453,Liam Edwards,ENG,,27,D (C),Chester,Vanarama National League North,â¬525 p/w,3311,"6'3""",74 kg,-,30/6/2024,,-,,-,0.03,1.03,-,1.39,2.09,0.71,67%,26,0.46,75%,7.37,14.81,1.9,8.59,87%,55.07,5.27,-,0.02,0.03,0.05,15%,0.35,0.05,0.03,-1.03,-,1.03,5.33
- - -,,2000108352,Charlie Hayes-Green,ENG,,19,D (C),Peterborough Sports,Vanarama National League North,â¬575 p/w,1260,"6'0""",75 kg,30/6/2024,30/6/2025,,-,,-,0.03,0.4,-,1.07,2.00,1.43,91%,20,0.29,75%,6.29,15.21,3.43,10.71,85%,43.57,4.71,-,0.08,0.71,0.07,0%,0.43,0.00,0.03,-0.4,-,0.4,8.0
- - -,,29111157,Alex Finney,ENG,,27,D (C),Eastbourne Borough,Vanarama National League South,â¬800 p/w,4335,"6'4""",84 kg,-,30/6/2024,,-,,-,0.07,3.56,-,1.62,1.27,1.08,74%,52,0.27,75%,6.66,16.46,3.26,4.94,82%,41.92,3.61,-,0.03,0.04,0.15,25%,0.58,0.15,0.07,-2.56,0.02,3.56,4.92
- - -,Wnt,29128545,Kyron Farrell,IRL,ENG,26,D (L),Tamworth,Vanarama National League North,â¬250 p/w,3999,"5'11""",70 kg,-,30/6/2024,,-,,-,0.05,2.41,-,1.76,2.23,2.14,82%,95,0.70,75%,5.09,15.71,8.26,13.68,81%,42.83,7.29,0.09,0.1,0.54,0.74,38%,1.24,0.47,0.05,0.59,0.07,2.41,12.81
- - -,,2000120904,George Milner-Smith,ENG,,20,D (C),Dartford,Vanarama National League South,â¬300 p/w,1440,"6'4""",82 kg,30/6/2024,30/6/2025,,-,,-,0.07,1.12,-,1.75,1.12,0.81,87%,13,0.75,75%,6.38,13.94,2.81,3.5,86%,44.5,3.81,0.06,0.04,0.12,0.12,36%,0.88,0.31,0.07,0.88,0.12,1.12,4.44
- - -,,29132088,Adam Anson,ENG,,27,D (C),Southport,Vanarama National League North,â¬475 p/w,4559,"6'0""",81 kg,-,30/6/2024,,-,,-,0.04,2.26,-,2.33,1.01,0.71,71%,36,0.32,75%,6.14,11.73,2.8,8.84,80%,34.53,3.16,0.02,0.04,0.06,0.02,64%,0.49,0.32,0.04,0.74,0.06,2.26,3.14
- - -,,28094135,Evan Gumbs,ENG,,26,D (C),Warrington,Vanarama National League North,â¬180 p/w,3750,"5'10""",76 kg,-,30/6/2024,,-,,-,0.03,1.16,-,1.8,1.39,1.54,82%,64,0.60,75%,6.17,13.63,4.32,10.13,80%,38.62,4.27,0.05,0.02,0.07,0.07,38%,0.38,0.14,0.03,1.84,0.07,1.16,3.77
- - -,,29023545,Shaun Brisley,ENG,,34,D (C),Alfreton,Vanarama National League North,â¬350 p/w,3924,"6'4""",76 kg,-,30/6/2024,,-,,-,0.04,1.76,-,1.77,1.03,0.69,68%,30,0.41,75%,7.36,12.18,2.71,8.3,81%,34.2,3.0,-,0.01,0.00,-,17%,0.41,0.07,0.04,1.24,0.07,1.76,6.15
- - -,,31042036,Baris Altintop,ENG,TUR,23,D (RC),Braintree,Vanarama National League South,â¬475 p/w,4353,"6'2""",83 kg,-,30/6/2025,,-,,-,0.11,5.18,-,1.57,1.34,1.08,76%,52,0.41,75%,5.71,18.53,3.78,4.84,87%,44.97,3.58,0.06,0.06,0.02,0.31,23%,0.83,0.19,0.11,-1.18,0.08,5.18,4.51
- - -,,2000255196,Jet Dyer,ENG,RSA,19,D (LC),Aveley,Vanarama National League South,â¬350 p/w,2224,"6'4""",85 kg,29/6/2024,30/6/2025,,-,,-,0.03,0.76,-,1.7,1.17,1.7,81%,42,0.45,75%,6.07,13.15,5.18,8.54,87%,43.71,4.45,0.04,0.08,0.36,0.08,0%,0.32,0.00,0.03,-0.76,-,0.76,7.57
- - -,Wnt,29159369,Jordon Thompson,ENG,,25,D (C),Weymouth,Vanarama National League South,,2971,"6'2""",72 kg,-,-,,-,,-,0.06,1.92,-,1.54,1.70,0.82,69%,27,0.51,74%,6.54,12.42,2.97,5.15,83%,44.29,3.39,0.03,0.02,0.00,0.09,11%,0.58,0.06,0.06,-0.92,0.03,1.92,5.03
- - -,,5113683,Connell Rawlinson,WAL,,32,D (C),Yeovil,Vanarama National League South,â¬925 p/w,2760,"6'3""",77 kg,29/6/2024,30/6/2025,,-,,-,0.12,3.75,-,1.3,1.21,1.08,83%,33,0.42,74%,6.33,16.3,2.84,2.61,80%,44.28,4.14,-,0.03,0.00,-,21%,0.91,0.20,0.12,-2.75,0.03,3.75,4.66
- - -,,89024046,Jordaan Brown,ENG,JAM,32,D (C),Rushall,Vanarama National League North,â¬120 p/w,4145,"6'2""",85 kg,-,30/6/2024,,-,,-,0.03,1.16,-,2.24,1.17,0.98,79%,45,0.76,74%,7.93,13.85,2.82,10.9,79%,41.78,3.69,0.07,0.04,0.04,-,33%,0.52,0.17,0.03,-1.16,-,1.16,2.95
- - -,Ctr,31035171,Jacob Mensah,ENG,GHA,23,D (C),Dover,Vanarama National League South,â¬350 p/w,4214,"6'0""",75 kg,-,-,,-,,-,0.19,8.85,-,2.05,1.41,1.15,78%,54,0.45,74%,6.49,16.19,3.57,4.83,81%,46.54,3.97,0.02,0.03,0.06,0.04,30%,1.13,0.34,0.19,-5.85,0.06,8.85,4.76
