Position Selected,Inf,UID,Name,Position,Personality,Ability,Age,Nat,Agreed Playing Time,Wage,Expires,Transfer Value,LMR,Last 5 Games,Mins,Distance,Mins/Gm,Dist/90,xSv %,Clean Sheets,xGP/90,xGP,Saves/90,Hdrs,Hdr %,Hdrs W/90,Int/90,Itc,Blk/90,Blk,Tck/90,Tck W,Tck A,Tck R,Poss Won/90,Clear,Clr/90,Pr Passes,Pr passes/90,Poss Lost/90,Pres C/90,Pres C,Pres A/90,Pres A,Ps C/90,Pas %,Ps C,Ps A/90,Pas A,Ast,Asts/90,xA,xA/90,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Drb/90,Drb,Sprints/90,Shot/90,Shot %,ShT/90,ShT,Shots,Gls,xG/shot,xG-OP,xG/90,Cln/90,Con/90,Gls/90,Conc,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,xG,Hdrs A,Aer A/90,Goals Outside Box,Off,Sv %,Svh,Svp,Svt,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,style
GK,,2000177605,Harry French,GK,Determined,,20,ENG,Star Player,€725 p/w,30/6/2026,€4K - €8K,6.30,6.52,"2,790",201.3km,90.00,6.5km,82%,5,-0.18,-5.67,2,-,-,-,0.71,22,-,-,0.03,1,4,25%,12.42,-,0.52,32,1.03,4.32,0.00,0,0.00,0,26.77,88%,830,30.52,946,0,-,0.22,0.01,-,-,-,-,-,-,0,0.06,-,-,-,-,0,0,0.00,0.00,0.00,0.16,1.32,-,41,0.00,0.00,0,4,1,25%,0.00,-,-,-,0,68%,34,28,18,-,-,-,gk
DR,,2000045043,Callum Sullivan,"D (RL), WB (R)",Balanced,,21,ENG,Regular Starter,€425 p/w,30/6/2026,€1K - €10K,6.60,6.90,"3,232",484.4km,75.16,13.5km,-,-,-,-,-,165,75%,4.59,2.59,93,0.89,32,2.53,91,109,83%,14.81,51,1.42,286,7.96,12.53,2.59,93,8.35,300,65.11,86%,"2,338",75.46,"2,710",2,0.06,3.96,0.11,0.28,10,2.34,84,12%,1.34,48,14.65,0.53,26%,0.14,5,19,0,0.08,-1.54,0.04,-,-,-,-,1.54,0.04,0,-,-,-,1.54,219,6.10,0,1,-,-,-,-,7,0.19,0.36,fb
DCR,,29158250,Harvey Smith,D (C),Balanced,,27,ENG,Regular Starter,€475 p/w,30/6/2026,€0 - €8K,6.60,6.70,"3,775",467.0km,82.07,11.1km,-,-,-,-,-,315,79%,7.51,1.34,56,0.55,23,0.91,38,48,79%,12.92,57,1.36,265,6.32,9.63,0.79,33,2.91,122,63.30,87%,"2,655",72.76,"3,052",1,0.02,0.61,0.01,0.05,2,0.17,7,28%,0.05,2,5.46,1.24,31%,0.38,16,52,2,0.06,-1.21,0.08,-,-,0.05,-,3.21,0.08,0,-,-,-,3.21,397,9.46,0,3,-,-,-,-,19,0.45,0.05,dc
DCL,,29240127,Jack Davies,"D (LC), M (C)",Balanced,,23,ENG,Impact Sub,€400 p/w,30/6/2026,€500 - €3K,6.80,6.76,"2,084",276.5km,56.32,11.9km,-,-,-,-,-,165,82%,7.13,2.20,51,0.43,10,1.34,31,37,84%,14.60,36,1.55,144,6.22,10.84,1.25,29,4.32,100,58.69,87%,"1,359",67.76,"1,569",2,0.09,1.98,0.09,0.86,20,4.19,97,18%,0.35,8,10.36,0.52,50%,0.26,6,12,0,0.07,-0.84,0.04,-,-,-,-,0.84,0.04,0,-,-,-,0.84,202,8.72,0,3,-,-,-,-,7,0.30,0.04,dc
DL,,28049315,Zaine Francis-Angol,"D (LC), WB (L)",Balanced,,32,ATG,Important Player,€525 p/w,30/6/2027,€500 - €3.5K,7.60,6.74,"2,856",429.0km,79.33,13.5km,-,-,-,-,-,116,64%,3.66,2.21,70,0.38,12,1.83,58,70,83%,12.29,40,1.26,219,6.90,14.37,2.65,84,8.82,280,44.21,87%,"1,403",50.92,"1,616",8,0.25,7.87,0.25,1.86,59,11.82,375,11%,1.54,49,23.63,0.54,41%,0.22,7,17,0,0.08,-1.35,0.04,-,-,-,-,1.35,0.04,0,-,-,-,1.35,182,5.74,0,1,-,-,-,-,4,0.13,0.25,wb
DM,,29160404,Sam Fielding,"D (RC), DM, M (C)",Balanced,,27,ENG,Fringe Player,€300 p/w,30/6/2026,€0 - €3K,7.00,6.84,"3,357",479.8km,76.30,12.9km,-,-,-,-,-,72,62%,1.93,1.23,46,0.29,11,1.29,48,61,79%,8.12,32,0.86,223,5.98,8.23,2.47,92,7.51,280,57.32,90%,"2,138",63.62,"2,373",2,0.05,3.82,0.10,0.70,26,3.54,132,50%,0.54,20,7.45,1.05,26%,0.27,10,39,2,0.09,-1.53,0.09,-,-,0.05,-,1.94,0.05,2,-,-,-,3.53,116,3.11,0,0,-,-,-,-,3,0.08,0.94,dm
MCR,,2000229137,Haydn Tollitt,"M/AM (RC), ST (C)",Resolute,,17,ENG,Breakthrough Prospect,€50 p/w,30/6/2027,€3.5K - €7K,7.30,6.76,841,118.7km,70.08,12.7km,-,-,-,-,-,1,8%,0.11,0.86,8,0.21,2,1.18,11,16,69%,5.14,11,1.18,28,3.00,9.95,3.32,31,12.41,116,49.33,91%,461,54.47,509,3,0.32,0.98,0.10,0.64,6,2.89,27,12%,1.39,13,10.06,1.61,27%,0.43,4,15,1,0.10,-0.47,0.16,-,-,0.11,-,1.47,0.16,0,-,-,-,1.47,12,1.28,0,0,-,-,-,-,2,0.21,1.18,ms
MCL,,29123316,Alex Fletcher,"DM, M (C)",Balanced,,29,ENG,Regular Starter,€525 p/w,30/6/2026,€500 - €6K,7.10,6.72,"3,034",423.3km,72.24,12.6km,-,-,-,-,-,41,40%,1.22,1.07,36,0.15,5,2.14,72,98,73%,5.78,16,0.47,198,5.87,8.25,2.88,97,10.44,352,54.82,90%,"1,848",61.20,"2,063",2,0.06,2.80,0.08,0.18,6,0.50,17,35%,1.13,38,6.97,0.86,48%,0.42,14,29,10,0.32,0.77,0.27,-,-,0.30,-,2.90,0.09,8,-,-,-,9.23,103,3.06,0,3,-,-,-,-,0,0.00,0.36,mc
AMR,Inj,29188481,Callum Thompson,"M (R), AM (RC)",Ambitious,,24,IRL,Fringe Player,€210 p/w,30/6/2026,€4K - €9K,6.50,6.42,"1,875",269.1km,55.15,12.9km,-,-,-,-,-,39,35%,1.87,1.15,24,0.24,5,1.63,34,44,77%,5.76,16,0.77,56,2.69,15.50,2.16,45,9.12,190,36.05,86%,751,41.86,872,4,0.19,4.94,0.24,1.58,33,8.74,182,16%,3.12,65,9.60,1.54,34%,0.53,11,32,5,0.14,0.68,0.21,-,-,0.24,-,4.32,0.21,0,-,-,-,4.32,113,5.42,1,9,-,-,-,-,3,0.14,0.53,mr
AML,,29217235,Connor Shanks,"M (L), AM (RL), ST (C)",Balanced,,24,ENG,Impact Sub,€500 p/w,30/6/2026,€0 - €2.5K,7.20,6.70,"1,419",211.0km,47.30,13.4km,-,-,-,-,-,26,24%,1.65,1.52,24,0.25,4,1.27,20,24,83%,6.34,11,0.70,56,3.55,14.08,3.36,53,12.11,191,36.03,85%,568,42.49,670,4,0.25,3.20,0.20,1.01,16,5.52,87,17%,4.12,65,10.72,1.27,40%,0.51,8,20,2,0.14,-0.84,0.18,-,-,0.13,-,2.84,0.18,0,-,-,-,2.84,110,6.98,0,12,-,-,-,-,1,0.06,0.57,ml
