Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
Josh Leslie-Smith,27,0,"6'2""",4,170.0,11.1,D (RC),Caernarfon,,,,,,0.0,0.0,0.0,0.0,,0.0,,,6.35,5.29,100.0,1,1.59,7.41,1.59,100.0,,63.0,1.06,0.0,1.06,7.41,6.35,5.29,83.0,,0.0,0.53,0.0,1.59,0.0,0.0,0.0,0.0,5.29,,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Sloane,24,300,"6'3""",4,563.0,11.1,D (LC),Boston Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.95,6.07,100.0,1,1.92,14.87,1.44,100.0,,69.0,1.92,0.48,5.92,14.87,8.95,6.07,84.0,,0.02,0.0,0.0,1.12,0.0,-0.05,33.0,33.0,4.96,,0.0,0.0,0.05,0.0,0.0,0.0
Jaheim Allen,21,0,"5'7""",4,3406.0,13.0,AM (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.45,1.64,82.0,2,1.72,7.53,2.99,82.0,,22.0,1.19,0.34,-5.92,7.53,13.45,1.64,83.0,,0.12,3.25,0.61,5.84,9.61,-0.02,47.0,47.0,1.61,,10.0,0.26423957721667646,0.15,0.13,0.0,0.0
Ryan Hand,22,450,"5'11""",4,3510.0,11.7,D (LC),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.05,4.03,73.0,2,1.59,13.18,2.9,73.0,,72.0,1.9,1.08,1.13,13.18,12.05,4.03,80.0,,0.07,0.21,0.28,1.56,5.55,0.0,37.0,37.0,7.59,,2.0,0.05128205128205128,0.03,0.03,0.0,0.0
Shannon Brown,22,450,"5'2""",4,3504.0,12.5,"DM, M (C)",Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.35,4.01,75.0,1,1.36,7.83,1.67,75.0,,28.0,0.95,0.28,-0.52,7.83,8.35,4.01,85.0,,0.12,0.44,0.31,1.59,5.17,0.02,39.0,39.0,0.92,,1.0,0.025684931506849314,0.04,0.1,0.0,0.0
Aaron James,22,0,"6'0""",4,565.0,11.1,D (C),Cirencester,,,,,,0.0,0.0,0.0,0.0,,0.0,,,3.5,2.87,80.0,1,1.75,18.48,0.64,80.0,,60.0,1.91,0.32,14.98,18.48,3.5,2.87,77.0,,0.02,0.0,0.0,0.0,0.0,0.15,50.0,50.0,5.58,,1.0,0.1592920353982301,0.01,0.16,0.0,0.0
Kyle White,23,300,"6'0""",4,887.0,13.5,"DM, M (LC)",Alfreton,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.22,4.97,83.0,1,1.52,11.36,1.52,83.0,,55.0,1.32,0.2,3.14,11.36,8.22,4.97,85.0,,0.08,0.81,0.1,1.93,19.0,-0.09,40.0,40.0,2.64,,0.0,0.0,0.09,0.0,0.0,0.0
Nathan Mercer,21,150,"5'10""",4,3460.0,13.0,"DM, M (C)",Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,7.83,4.01,74.0,1,1.35,8.69,1.9,74.0,,53.0,1.53,0.7,0.86,8.69,7.83,4.01,85.0,,0.08,0.39,0.08,0.49,6.33,0.0,38.0,38.0,2.86,,2.0,0.052023121387283246,0.05,0.05,0.0,0.0
Luke Grimshaw,21,0,"6'1""",4,1307.0,10.9,D (C),Leamington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.78,2.89,90.0,1,1.17,14.39,1.24,90.0,,65.0,2.82,0.62,4.61,14.39,9.78,2.89,81.0,,0.05,0.0,0.0,0.0,0.0,0.1,50.0,50.0,6.13,,0.0,0.0,0.04,0.14,0.0,0.0
Will De Wilde,21,130,"6'0""",4,4247.0,12.0,M (C),Banbury,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.88,4.15,75.0,1,1.17,6.63,1.67,75.0,,34.0,0.72,0.21,-2.25,6.63,8.88,4.15,87.0,,0.14,0.34,0.13,0.61,4.83,0.0,25.0,25.0,1.36,,6.0,0.12714857546503414,0.08,0.08,0.0,0.0
Will Constantin,22,475,"5'10""",4,2437.0,12.6,D/WB (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.0,3.25,79.0,2,2.88,14.44,2.88,79.0,,45.0,2.7,0.7,1.44,14.44,13.0,3.25,80.0,,0.07,0.66,0.52,3.91,7.57,-0.02,23.0,23.0,3.55,,1.0,0.03693065244152646,0.02,0.0,0.0,0.0
Michael Connor,19,150,"6'5""",4,2604.0,12.1,"D (C), DM, M (C)",Peterborough Sports,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.4,3.59,80.0,1,1.11,9.4,1.9,80.0,,67.0,1.66,0.66,1.0,9.4,8.4,3.59,83.0,,0.05,0.21,0.07,0.14,2.0,-0.01,18.0,18.0,4.46,,1.0,0.03456221198156682,0.04,0.03,0.0,0.0
Euan Hastings,19,40,"6'1""",4,2573.0,11.0,D (RC),Tranent,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.57,4.09,82.0,1,1.29,8.71,1.75,82.0,,59.0,1.92,0.59,0.14,8.71,8.57,4.09,88.0,,0.03,0.07,0.14,1.01,7.25,-0.09,28.0,28.0,4.51,,1.0,0.03497862417411582,0.09,0.0,0.0,0.0
